"N","Year","Status","Team","PTS","FG","FGA","FGP","TP","TPA","TPP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"1",1980,"Runner Up","Sixers",104.166666666667,43,88.3333333333333,48.6792452830189,0.166666666666667,2.66666666666667,6.25,18,24,75,9.5,27.6666666666667,37.1666666666667,31,9.33333333333333,10,15.1666666666667,22.5
"2",1981,"Runner Up","Rockets",86.6666666666667,33.8333333333333,89.3333333333333,37.8731343283582,0.5,1.83333333333333,27.2727272727273,18.5,25.8333333333333,71.6129032258064,18.6666666666667,24,42.6666666666667,18,7.83333333333333,5.66666666666667,13.1666666666667,20.1666666666667
"3",1982,"Runner Up","Sixers",112.5,46.1666666666667,92.5,49.9099099099099,0.666666666666667,2.33333333333333,28.5714285714286,19.5,27.8333333333333,70.059880239521,15,26.6666666666667,41.6666666666667,28.6666666666667,8.83333333333333,8.5,16.6666666666667,26.5
"4",1983,"Runner Up","Lakers",100.5,40.75,90.25,45.1523545706371,0.75,3.75,20,18.25,23.25,78.494623655914,15.25,27.5,42.75,24.5,9,7.25,20,30
"5",1984,"Runner Up","Lakers",117.428571428571,46.7142857142857,90.7142857142857,51.496062992126,0.857142857142857,2.57142857142857,33.3333333333333,23.1428571428571,32.8571428571429,70.4347826086957,13.7142857142857,30,43.7142857142857,28.2857142857143,8.42857142857143,5.85714285714286,16.5714285714286,29.4285714285714
"6",1985,"Runner Up","Celtics",113.166666666667,43.8333333333333,92,47.6449275362319,2.16666666666667,5.66666666666667,38.2352941176471,23.3333333333333,30.3333333333333,76.9230769230769,12.3333333333333,30.8333333333333,43.1666666666667,30.8333333333333,8.66666666666667,5,14,22.1666666666667
"7",1986,"Runner Up","Rockets",102,41.8333333333333,92.8333333333333,45.0628366247756,0.833333333333333,2.83333333333333,29.4117647058824,17.5,24.6666666666667,70.9459459459459,18.5,27,45.5,27.5,9,6.66666666666667,14.3333333333333,22.1666666666667
"8",1987,"Runner Up","Celtics",111,43.6666666666667,86.1666666666667,50.6769825918762,2.33333333333333,7,33.3333333333333,21.3333333333333,27,79.0123456790123,12,29.3333333333333,41.3333333333333,27.8333333333333,5,5.5,13.6666666666667,21.3333333333333
"9",1988,"Runner Up","Pistons",101.285714285714,38.5714285714286,81,47.6190476190476,1.28571428571429,4.42857142857143,29.0322580645161,22.8571428571429,29.7142857142857,76.9230769230769,13.5714285714286,30,43.5714285714286,23.2857142857143,6.85714285714286,4.85714285714286,11.7142857142857,26.7142857142857
"10",1989,"Runner Up","Lakers",102.25,36,77.5,46.4516129032258,3.25,10.75,30.2325581395349,27,36,75,11.75,24.5,36.25,23,5.5,4,11.75,26
"11",1990,"Runner Up","Blazers",102,37.4,82,45.609756097561,2.2,9.4,23.4042553191489,25,33.8,73.9644970414201,11.4,29,40.4,20.6,7.2,3.4,16.4,29.8
"12",1991,"Runner Up","Lakers",91.6,33.4,74.8,44.6524064171123,2.6,9.2,28.2608695652174,22.2,27.4,81.021897810219,11.8,23.8,35.6,19.2,6.8,4.4,15,19.2
"13",1992,"Runner Up","Blazers",96.6666666666667,35.3333333333333,79.8333333333333,44.258872651357,1.66666666666667,8.66666666666667,19.2307692307692,24.3333333333333,30.8333333333333,78.9189189189189,13.6666666666667,28.1666666666667,41.8333333333333,20.8333333333333,7.83333333333333,3.83333333333333,17,25.8333333333333
"14",1993,"Runner Up","Suns",106.666666666667,40.6666666666667,86.8333333333333,46.8330134357006,4.5,10.3333333333333,43.5483870967742,20.8333333333333,26.8333333333333,77.639751552795,14.3333333333333,29,43.3333333333333,22.5,6.83333333333333,7.66666666666667,13.1666666666667,22.1666666666667
"15",1994,"Runner Up","Knicks",86.8571428571429,33.1428571428571,81.4285714285714,40.7017543859649,5.14285714285714,15,34.2857142857143,15.4285714285714,21.1428571428571,72.972972972973,15,28,43,21.7142857142857,8.14285714285714,6.14285714285714,12.7142857142857,22.8571428571429
"16",1995,"Runner Up","Magic",107,40.75,87.5,46.5714285714286,10.25,29.5,34.7457627118644,15.25,22.25,68.5393258426966,12,34,46,27.5,5.25,5,16,24.25
"17",1996,"Runner Up","Sonics",92.75,31.5,69,45.6521739130435,5.25,16,32.8125,24.5,28.75,85.2173913043478,11.5,25.25,36.75,16.25,5.5,2.75,16.5,28
"18",1997,"Runner Up","Jazz",85.875,30.625,71.5,42.8321678321678,5.75,15.375,37.3983739837398,18.875,25,75.5,10.125,30,40.125,19.625,7.25,3.25,13.375,22.5
"19",1998,"Runner Up","Jazz",80.1666666666667,31.8333333333333,71.8333333333333,44.3155452436195,2.16666666666667,10,21.6666666666667,14.3333333333333,18.6666666666667,76.7857142857143,10.1666666666667,27.8333333333333,38,21.3333333333333,6.33333333333333,2.66666666666667,16.3333333333333,25
"20",1999,"Runner Up","Knicks",79.8,30.8,78.6,39.1857506361323,2.2,10.8,20.3703703703704,16,21,76.1904761904762,9.8,28.4,38.2,14,8,3.4,11.6,24.6
"21",2000,"Runner Up","Pacers",106.666666666667,36.3333333333333,78.5,46.2845010615711,8.16666666666667,19.3333333333333,42.2413793103448,25.8333333333333,30.3333333333333,85.1648351648352,8.66666666666667,32.5,41.1666666666667,20.1666666666667,5.5,4.33333333333333,10.8333333333333,26.5
"22",2001,"Runner Up","Sixers",93.8,35.4,83.4,42.4460431654676,3.4,11.8,28.8135593220339,19.6,27.4,71.5328467153285,13.2,29.6,42.8,18.4,7.8,4.8,12.4,25
"23",2002,"Runner Up","Nets",96.75,38.75,88.75,43.6619718309859,4.5,14.75,30.5084745762712,14.75,22,67.0454545454545,15,24,39,21.5,9.5,4.5,11.25,26.25
"24",2003,"Runner Up","Nets",82,30.3333333333333,82,36.9918699186992,3.83333333333333,13.8333333333333,27.710843373494,17.5,22.3333333333333,78.3582089552239,14.3333333333333,28.1666666666667,42.5,16.6666666666667,7.83333333333333,6.33333333333333,13.6666666666667,24.1666666666667
"25",2004,"Runner Up","Lakers",81.8,31.6,76,41.5789473684211,4.4,17.8,24.7191011235955,14.2,22.2,63.963963963964,10.4,27.2,37.6,20.6,7.2,2.8,13.2,28.4
"26",2005,"Runner Up","Pistons",86.7142857142857,35.4285714285714,81.5714285714286,43.4325744308231,2.57142857142857,10.7142857142857,24,13.2857142857143,18,73.8095238095238,13.7142857142857,27.2857142857143,41,18.5714285714286,9,7.57142857142857,8.71428571428571,21.2857142857143
"27",2006,"Runner Up","Mavericks",91.8333333333333,33,78.1666666666667,42.2174840085288,5.5,19.3333333333333,28.448275862069,20.3333333333333,25.8333333333333,78.7096774193548,10.1666666666667,31.6666666666667,41.8333333333333,15.8333333333333,7.33333333333333,3.33333333333333,14.5,27.3333333333333
"28",2007,"Runner Up","Cavaliers",80.5,31,78.5,39.4904458598726,5.5,18.75,29.3333333333333,13,18.75,69.3333333333333,12.25,28.75,41,16.5,6.25,2.75,11,19
"29",2008,"Runner Up","Lakers",93.8333333333333,33,74.8333333333333,44.097995545657,7.16666666666667,20.6666666666667,34.6774193548387,20.6666666666667,28.3333333333333,72.9411764705882,8.16666666666667,29,37.1666666666667,19.3333333333333,6.83333333333333,3.16666666666667,13.5,26
